transaction_id,account_id,amount,transaction_type,merchant,location,timestamp,account_balance_before,is_weekend,hour_of_day,is_suspicious,amount_zscore,balance_ratio,is_high_amount,is_night_transaction
5998ac22-7845-4fd4-a98d-0a7e5d3cc426,7871,624.44,CASH_WITHDRAWAL,Best Buy,South Erictown,2025-05-26 20:55:51,4882.59,0,9,0,-0.14513137111933294,0.12789113974345584,0,0
d53ed20c-0bde-4dc3-8fa3-a248b924d1aa,4288,19465.65,BILL_PAYMENT,Home Depot,Andrewsshire,2024-07-03 22:40:09,34916.89,0,10,1,7.591261778940911,0.5574852170396619,1,0
2eac958d-3ba0-4d0c-bc08-5777c661cc2e,3849,104.53,TRANSFER,Amazon,Rosston,2024-06-27 01:04:53,17555.27,1,9,0,-0.3586117241671373,0.005954337358525389,0,0
a5f40514-71b2-40b8-8d70-2792f8ec08eb,7910,203.42,ATM_WITHDRAWAL,Shell,New Tiffany,2024-07-15 11:35:56,11011.61,1,9,0,-0.3180064807348175,0.01847322961855714,0,0
75601daa-f4c7-4729-82fd-9f693f8a5efc,4210,29.77,BILL_PAYMENT,Best Buy,Brentmouth,2025-03-03 18:10:32,42032.8,1,14,0,-0.38930894328939664,0.0007082564092803714,0,0
ea77ef4c-f3d9-4618-970f-dbe4903a5500,9970,592.26,CASH_WITHDRAWAL,Shell,New Alicia,2024-12-30 01:31:02,10028.35,0,19,0,-0.15834480760079772,0.05905856895700688,0,0
7f73fbba-627e-423f-b615-2dc9ed200f8a,1964,80.53,TRANSFER,Amazon,Whitestad,2024-11-11 14:25:26,8388.45,0,16,0,-0.3684663691502061,0.009600104906150719,0,0
bbde23a0-af9c-4025-a917-228b6977bef8,7948,56.26,TRANSFER,Amazon,South Jasonview,2024-07-12 09:27:27,35899.37,1,7,0,-0.37843187888933444,0.0015671584208859373,0,0
9c30dd3d-00e3-420f-93da-438a853463b0,8993,620.4,ONLINE_PURCHASE,Shell,New Ricardo,2024-09-22 19:48:56,33768.66,1,21,0,-0.14679023635814956,0.018372064511887647,0,0
7771f747-e513-4371-a378-7f2852663a53,5667,67.77,TRANSFER,Amazon,Zacharyburgh,2025-01-22 12:06:42,34551.85,0,12,0,-0.3737057553995377,0.0019614000408082347,0,0
94011984-0bd4-47e2-a2d2-f40b46bd0ec5,7929,1701.53,ONLINE_PURCHASE,Starbucks,East Zachary,2024-08-31 13:36:33,21793.74,0,3,1,0.2971327774145663,0.07807425435010236,1,1
bb388361-f816-4ca0-a135-689379d27703,2062,955.9,CASH_WITHDRAWAL,McDonald's,Carterborough,2024-07-23 05:57:41,48810.58,1,12,0,-0.009030511699000187,0.01958386890710989,0,0
e238d50a-ab80-48a8-a24f-33bd13923c53,3452,902.17,ATM_WITHDRAWAL,Home Depot,Coryburgh,2025-03-29 04:49:37,46928.2,1,8,0,-0.031092598154845486,0.0192244748360261,0,0
b43bdf24-f4d9-4e87-bc10-1489d8cd57f3,2439,43.18,ATM_WITHDRAWAL,Home Depot,Lake David,2024-08-06 21:00:27,25080.68,0,13,0,-0.38380266040510697,0.0017216439107711594,0,0
dd55317a-7036-4ead-92f0-3145143dc0cf,9953,85.31,ATM_WITHDRAWAL,Shell,New Josephfort,2024-11-14 01:35:57,8831.49,1,15,0,-0.3665036523577449,0.009659751638738197,0,0
a1cd45e7-112b-4680-bdcd-4652bdd64527,4442,390.15,TRANSFER,Costco,Coxport,2025-02-07 18:34:51,37342.95,1,18,0,-0.24133323666446593,0.01044775519877246,0,0
5a31a366-9f76-4471-99da-a50068a4fef4,6553,511.31,DEPOSIT,Amazon,West Michaelshire,2025-03-03 01:23:32,45498.1,1,12,0,-0.19158370390827356,0.011238051698862151,0,0
34ce3905-c7b2-47d3-8491-69fe2ce8b663,6023,490.56,TRANSFER,Shell,Port Julie,2025-04-17 07:36:29,16439.68,1,11,0,-0.2001038657165518,0.029839996885584148,0,0
346b26a3-c4e8-43a4-85f2-eda840bfac89,8347,478.46,BILL_PAYMENT,Starbucks,Anaview,2024-10-05 09:26:15,2397.65,0,12,0,-0.205072249228849,0.19955372969365837,0,0
508aa70e-619d-45eb-ab66-9167f7f4d9cc,7727,281.35,ONLINE_PURCHASE,Best Buy,Dixonland,2025-05-22 22:21:52,5531.5,1,23,0,-0.28600762725437784,0.050863237819759564,0,1
0fadc6c6-7e8f-40c5-80ed-0f33e6953bd6,8637,6137.21,TRANSFER,Target,Davishaven,2025-01-14 14:14:53,31823.53,1,7,1,2.1184682631853433,0.19285132730404203,1,0
3c0e4d73-18b7-4c3e-b144-d3d1185e307c,3469,68.45,BILL_PAYMENT,Amazon,East Amandafurt,2024-08-12 02:06:28,15229.56,0,15,0,-0.3734265404583507,0.004494548759123704,0,0
c24a55bb-d566-4f96-b380-8628939db270,5803,698.24,DEPOSIT,McDonald's,Jamesview,2024-09-01 17:58:52,1673.06,1,23,0,-0.11482833779639638,0.4173430719759005,0,1
8759db05-4ee4-437d-81bb-a6bf31aca1ad,7186,877.84,DEPOSIT,McDonald's,Port Ericafurt,2024-12-21 02:42:21,16786.08,1,15,0,-0.041082744506431464,0.05229571168491988,0,0
df3f5c77-0f01-4899-9820-d331edb04aad,9592,22.88,DEPOSIT,Walmart,Lake Marcusshire,2025-02-17 21:31:20,7349.11,1,21,0,-0.39213804761995263,0.0031133021549548177,0,0
27f79eed-81ff-44e9-a72d-ffe72cf3fd24,8246,531.96,CASH_WITHDRAWAL,Walmart,Maldonadoland,2025-05-03 17:38:28,46610.82,0,4,1,-0.1831046031207581,0.01141280071880306,0,1
3989402c-2583-4606-b13f-ceec3f340122,7114,966.11,TRANSFER,Costco,Sarahland,2025-02-18 11:46:35,13419.51,1,17,0,-0.00483818147911965,0.07199294162007405,0,0
831ca84f-ae79-4e12-8286-4666d2788b31,5596,604.89,DEPOSIT,Starbucks,Heidishire,2024-09-24 07:32:49,2286.63,1,1,1,-0.15315880067845777,0.2645333963081041,0,1
3995d6ad-7b68-4052-89b7-ce69fed725dc,2506,392.65,ATM_WITHDRAWAL,Shell,New Betty,2024-11-22 15:07:44,44363.45,0,13,0,-0.24030671114539626,0.008850754393537923,0,0
5d7d8e89-352a-4aa0-ad32-8bf68236c9ec,6223,244.94,ONLINE_PURCHASE,CVS,Port Charlesport,2025-05-29 20:03:53,36010.54,0,13,0,-0.3009579449141085,0.006801897444470424,0,0
ed216e9f-f9ec-4d79-a1b4-fc9a079eb05e,4024,363.05,TRANSFER,Target,Harveyburgh,2024-12-28 19:39:40,6837.84,0,17,1,-0.25246077329118116,0.05309425198600728,0,0
915a51ec-a63b-44c6-bb4e-a0d0b2d07bf2,6637,110.12,BILL_PAYMENT,Starbucks,Johnshire,2024-09-05 02:57:39,18189.8,1,12,0,-0.35631641310649753,0.006053942319321819,0,0
31676679-992b-49bf-8bbd-4a50d480c6d6,5052,629.35,CASH_WITHDRAWAL,Best Buy,Jennyland,2024-07-10 02:08:21,28489.35,0,10,0,-0.14311527499988014,0.022090711090284616,0,0
